User_ID,Recipe_ID,Recipe_Name,Hidden_Unit_1,Hidden_Unit_2,Hidden_Unit_3,Hidden_Unit_4,Hidden_Unit_5,Hidden_Unit_6
4,1,Chili Paneer,0.6339036,0.023619765,0.17612448,0.05189735,0.033409838,0.6209761
34,2,Paneer Butter Masala,0.012199401,0.008626935,0.27596226,0.00561456,0.7321541,0.2879616
8,3,Mixed Veg Curry,0.008813545,0.0012462538,0.896814,0.0013753879,0.07969221,0.9633933
14,4,Egg Bhurji,0.9079812,0.01701591,0.11491715,0.07318073,0.004945998,0.9207839
22,5,Grilled Fish,0.78279185,0.08979554,0.015239789,0.15157576,0.28582314,0.043443132
9,6,Loaded Cheese Fries,0.22044015,0.0041834875,0.6258908,0.0101424875,0.008924305,0.9367254
37,7,Rasgulla,0.047816113,0.008975023,0.79497886,0.009614518,0.18096092,0.93063736
29,8,Rasgulla,0.9911028,0.79060787,0.025768314,0.8829666,0.29046476,0.12628767
2,9,Quinoa Salad,0.41762125,0.16352096,0.14291693,0.18613341,0.43494156,0.25829118
29,10,Chicken Curry,0.98144114,0.9403241,0.001804614,0.9198845,0.9638279,0.0038874277
8,11,Cheesy Pasta,0.18799382,0.24030343,0.028284408,0.17698728,0.9222047,0.021402799
31,12,Paneer Butter Masala,0.11417198,0.0056286873,0.93755853,0.010846223,0.019263435,0.98617494
9,13,Cream Cheese Sandwich,0.23604392,0.007852715,0.97980773,0.019814221,0.0042353584,0.9981597
25,14,Rasgulla,0.018280735,0.030569844,0.0108685605,0.014470787,0.97961754,0.004935795
13,15,Paneer Butter Masala,0.8527951,0.010210312,0.14835262,0.0401286,0.011223046,0.82326204
16,16,Protein Power Bowl,0.31425557,0.002893799,0.07222236,0.0075900494,0.015010137,0.7236773
30,17,Paneer Butter Masala,0.983993,0.82652575,0.0025124003,0.82497907,0.7356437,0.013105449
33,18,Sprouts Bowl,0.9961482,0.92583597,0.0074569085,0.9506231,0.5588782,0.04108549
11,19,Sweet Rice Kheer,0.9846369,0.8768628,0.019388441,0.9092963,0.49474853,0.06883395
20,20,Quinoa Salad,0.9872738,0.7997888,0.011092353,0.85849047,0.52788526,0.06478713
39,21,Mixed Veg Curry,0.008527821,0.0075118043,0.46314612,0.004749246,0.7366642,0.38561788
38,22,Lentil Soup,0.9238955,0.5285873,0.111423545,0.63949615,0.22526084,0.41996187
8,23,Butter Rice,0.58478945,0.115654424,0.56736493,0.14142917,0.3276891,0.8223263
18,24,Mixed Veg Curry,0.66757125,0.039216734,0.56290454,0.072139375,0.023116805,0.95548064
36,25,Paneer Butter Masala,0.9685989,0.15151525,0.12994729,0.36942422,0.05310625,0.5999513
18,26,Boiled Egg Salad,0.9819593,0.5533588,0.025934864,0.71138865,0.19733289,0.1843753
19,27,Quinoa Salad,0.020049637,0.0783751,0.08096433,0.036026932,0.9754362,0.031148471
17,28,Cheese Loaded Pizza,0.98139036,0.7115732,0.0051073334,0.74911,0.7472664,0.025349613
17,29,Steamed Vegetables,0.9798956,0.93500984,0.0010181686,0.9232414,0.88301194,0.0047202124
25,30,Quinoa Salad,0.09459342,0.008413391,0.0022169666,0.007701323,0.82280105,0.00475979
22,31,Gulab Jamun,0.7950574,0.2829285,0.020167531,0.30743062,0.76732063,0.036447335
23,32,Gulab Jamun,0.9935545,0.91471887,0.00026006665,0.91467005,0.91668355,0.0020162784
36,33,Protein Power Bowl,0.9408224,0.035412904,0.016890017,0.11418563,0.028873576,0.26935548
30,34,Chili Paneer,0.9954229,0.7397501,0.002929938,0.84625053,0.3802695,0.03679594
5,35,Vegetable Pulao,0.95365846,0.044557396,0.0029967143,0.104384765,0.059900597,0.047291633
20,36,Grilled Chicken,0.8760491,0.83697945,0.01175316,0.74105185,0.951127,0.0156763
11,37,Paneer Butter Masala,0.98006666,0.8722328,0.050695017,0.90540147,0.4641775,0.14177032
2,38,Cream Cheese Sandwich,0.9152653,0.0919651,0.020343412,0.2084649,0.1403531,0.14947657
2,39,Spicy Chicken Wings,0.9503939,0.48912013,0.03696791,0.63734454,0.29924238,0.15700339
10,40,Chicken Biryani,0.17485088,0.0039848224,0.2278321,0.006773378,0.117818296,0.5656153
29,41,Butter Rice,0.99332607,0.8818902,0.00027524002,0.88754576,0.9280968,0.0010669769
25,42,Sweet Rice Kheer,0.0895976,0.053253885,0.20167723,0.03842557,0.73742515,0.24211012
20,43,Chocolate Milkshake,0.9900658,0.963016,0.0043174955,0.9523607,0.91667205,0.011063074
2,44,Loaded Cheese Fries,0.9049361,0.11771759,0.059858393,0.25759482,0.12501942,0.29156268
8,45,Cheese Loaded Pizza,0.65243626,0.0051270407,0.34427688,0.014934244,0.0058079697,0.95326626
19,46,Steamed Vegetables,0.03487231,0.008835821,0.031032888,0.0074215764,0.78874207,0.06690642
23,47,Sweet Rice Kheer,0.9946562,0.5825893,0.0025319806,0.76911753,0.14935975,0.08860531
37,48,Cheese Loaded Pizza,0.8752987,0.060769632,0.4245178,0.16002215,0.017998295,0.9000633
36,49,Spicy Chicken Wings,0.965961,0.17369686,0.05049291,0.36890125,0.08316334,0.41679385
34,50,Quinoa Salad,0.08172371,0.2428176,0.018984305,0.1018484,0.9805768,0.011916892
12,51,Chocolate Brownie,0.06778273,0.022719106,0.90752596,0.029197358,0.20291166,0.9406658
15,52,Chili Paneer,0.88529336,0.90744334,0.0014435579,0.81024665,0.98211795,0.0021273345
39,53,Multigrain Roti with Veggies,0.03820594,0.32927105,0.030913379,0.11745729,0.9960975,0.00822439
16,54,Chili Paneer,0.1277461,0.004970125,0.75426084,0.010253091,0.024614347,0.95498574
37,55,Fruit Salad Bowl,0.01702396,0.0018255033,0.9640651,0.0027530417,0.026026685,0.98978895
6,56,Steamed Vegetables,0.8071647,0.030471975,0.065473,0.08357845,0.023756225,0.6855111
3,57,Chocolate Milkshake,0.45555258,0.038123097,0.584464,0.051613644,0.078422055,0.94189095
40,58,Lentil Soup,0.09269469,0.0027163362,0.9505396,0.0058910293,0.004125841,0.9961576
7,59,Steamed Vegetables,0.15152036,0.0055822222,0.59731394,0.01122112,0.023823487,0.94604516
35,60,Chocolate Milkshake,0.69423914,0.012667735,0.6614113,0.038263217,0.013163813,0.979318
14,61,Multigrain Roti with Veggies,0.2496839,0.0014706076,0.82890385,0.0051300745,0.0040366473,0.9804448
11,62,Sweet Rice Kheer,0.9955909,0.93507123,0.0021431064,0.94032854,0.8386711,0.009693657
25,63,Egg Bhurji,0.12302728,0.13957122,0.0045678243,0.072995454,0.98499554,0.0037177661
17,64,Lentil Soup,0.95821905,0.8887403,0.017185213,0.8574318,0.8957138,0.038848583
38,65,Egg Bhurji,0.9934057,0.40107596,0.016640037,0.6833206,0.06650196,0.14629374
2,66,Egg Bhurji,0.3720244,0.086668186,0.2166569,0.11747461,0.312049,0.47764924
11,67,Cheese Loaded Pizza,0.86373216,0.902542,0.003828133,0.84250844,0.9773088,0.0039469493
18,68,Lentil Soup,0.78340524,0.040123034,0.06090791,0.075656205,0.113561004,0.25833595
24,69,Protein Power Bowl,0.10794714,0.055802,0.12908351,0.042922787,0.8591617,0.08750749
23,70,Chili Paneer,0.99211615,0.83014715,0.0072587426,0.86107236,0.68036145,0.04394064
36,71,Sweet Rice Kheer,0.9362923,0.0352676,0.010106579,0.11141335,0.022857234,0.21435669
28,72,Protein Power Bowl,0.54202837,0.00073547295,0.34817523,0.004172552,0.0009151716,0.9752168
34,73,Gulab Jamun,0.006719723,0.028432693,0.033715017,0.010837238,0.9747979,0.015134707
34,74,Chicken Curry,0.045943324,0.06573357,0.016814964,0.034609493,0.97558063,0.0075984765
9,75,Paneer Butter Masala,0.1280671,0.0026557862,0.90724736,0.0064990213,0.008503789,0.9828472
12,76,Quinoa Salad,0.056822732,0.016587965,0.9141057,0.020886054,0.11049812,0.95235074
12,77,Cheese Loaded Pizza,0.110036016,0.017305778,0.97176254,0.022334363,0.06243208,0.9906213
34,78,Sweet Rice Kheer,0.067084365,0.03836367,0.14133678,0.029285733,0.74660355,0.17938459
36,79,Palak Paneer,0.5917763,0.00959534,0.2447156,0.024767106,0.04002847,0.70711184
24,80,Multigrain Roti with Veggies,0.009797403,0.0020011228,0.5508618,0.0017718147,0.3232777,0.5268436
25,81,Grilled Fish,0.13095886,0.16663074,0.09436189,0.12531124,0.7788791,0.1278224
6,82,Grilled Chicken,0.8478101,0.018136885,0.35163283,0.0673842,0.0045065056,0.94966775
22,83,Chili Paneer,0.99867237,0.3846605,0.00091071875,0.7401002,0.03020057,0.052597705
1,84,Loaded Cheese Fries,0.9962328,0.8459127,0.003619903,0.908041,0.33061874,0.035056315
26,85,Vegetable Pulao,0.29489687,0.008730008,0.9566648,0.022524837,0.008594207,0.99450654
27,86,Quinoa Salad,0.03628263,0.0010016641,0.9111405,0.002016544,0.004499546,0.9915536
15,87,Multigrain Roti with Veggies,0.9937755,0.9265016,0.0032596022,0.9403347,0.565738,0.025893645
31,88,Butter Rice,0.49210456,0.0021374668,0.84095275,0.0092306575,0.0015944579,0.9926099
35,89,Hot & Spicy Noodles,0.02020662,0.0033606358,0.48418155,0.003905482,0.060112294,0.8168756
32,90,Chicken Biryani,0.8958486,0.912951,0.0019436976,0.8324027,0.9840042,0.0020155532
1,91,Grilled Chicken,0.8581604,0.7862615,0.0147522,0.73025054,0.86369944,0.024257502
23,92,Rasgulla,0.9944912,0.8034863,0.0004398488,0.8704121,0.51108706,0.007442674
28,93,Rasgulla,0.14240435,0.014641329,0.012627602,0.02028097,0.4480621,0.07177951
